number,id,short,title,year,venue,status,category,primary_school,schools,summary,depth,url,retrieved
1,rag,RAG,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,NeurIPS 2020,P,基础与表示,事实与证据,事实与证据,建立参数知识与外部检索结合的经典基线；不自动包含经验写回。,摘要,https://arxiv.org/abs/2005.11401,2026-09-24
2,generative-agents,Generative Agents,Generative Agents: Interactive Simulacra of Human Behavior,2023,UIST 2023,P,基础与表示,事实与证据,事实与证据 / 经验反思与策略,观察、反思与规划耦合的早期代表，强调长期行为一致性。,本轮重读原始全文：记忆流、反思、规划及行为可信度消融,https://arxiv.org/abs/2304.03442,2026-09-24
3,reflexion,Reflexion,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,NeurIPS 2023,P,经验与技能,经验反思与策略,经验反思与策略,把任务反馈转换为语言反思，保留在 episodic buffer 中指导后续尝试。,正式全文重点章节与消融,https://arxiv.org/abs/2303.11366,2026-09-24
4,voyager,Voyager,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,arXiv；本文未独立核验后续会议信息,R,经验与技能,工作流与程序,工作流与程序,以可执行代码技能库积累能力，突出技能组合与环境反馈。,全文机制章节,https://arxiv.org/abs/2305.16291,2026-09-24
5,memorybank,MemoryBank,MemoryBank: Enhancing Large Language Models with Long-Term Memory,2023,AAAI 2024,P,个性化与检索,事实与证据,事实与证据,对话、用户画像与受遗忘曲线启发的记忆更新。,全文机制章节,https://arxiv.org/abs/2305.10250,2026-09-24
6,memgpt,MemGPT,MemGPT: Towards LLMs as Operating Systems,2023,arXiv,R,基础与表示,任务内状态,任务内状态,将有限上下文与外部记忆看作层级存储，以工具调用管理信息迁移。,全文机制章节,https://arxiv.org/abs/2310.08560,2026-09-24
7,longmem,LongMem,Augmenting Language Models with Long-Term Memory,2023,NeurIPS 2023,P,基础与表示,模型内部表示,模型内部表示,冻结骨干并训练侧网络，将历史缓存与检索读取结合。,全文机制章节,https://arxiv.org/abs/2306.07174,2026-09-24
8,expel,ExpeL,ExpeL: LLM Agents Are Experiential Learners,2023,AAAI 2024,P,经验与技能,经验反思与策略,经验反思与策略,从任务经历中提取可复用洞见，连接实例检索与跨任务泛化。,全文机制章节,https://arxiv.org/abs/2308.10144,2026-09-24
9,synapse,Synapse,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,2023,ICLR 2024,P,经验与技能,经验反思与策略,经验反思与策略,以历史轨迹作为计算机操作的上下文示例。,全文重点章节、消融与评测设置,https://arxiv.org/abs/2306.07863,2026-09-24
10,hipporag,HippoRAG,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,NeurIPS 2024,P,个性化与检索,事实与证据,事实与证据,知识图谱与 Personalized PageRank 支持联想式多跳检索。,全文机制章节,https://arxiv.org/abs/2405.14831,2026-09-24
11,hipporag2,HippoRAG 2,From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,2025,ICML 2025,P,个性化与检索,事实与证据,事实与证据,兼顾事实召回与跨信息关联的非参数持续学习框架。,全文机制章节,https://arxiv.org/abs/2502.14802,2026-09-24
12,amem,A-MEM,A-MEM: Agentic Memory for LLM Agents,2025,NeurIPS 2025,P,个性化与检索,事实与证据,事实与证据,以结构化笔记、动态链接和关联记忆演化组织知识。,全文重点章节,https://arxiv.org/abs/2502.12110,2026-09-24
13,awm,Agent Workflow Memory,Agent Workflow Memory,2024,ICML 2025；正式论文参考文献确认,P,经验与技能,工作流与程序,工作流与程序 / 经验反思与策略,从经历抽象工作流，使常见子过程可跨任务复用。,全文机制章节,https://arxiv.org/abs/2409.07429,2026-09-24
14,hiagent,HiAgent,HiAgent: Hierarchical Working Memory Management for Solving Long-Horizon Agent Tasks with Large Language Model,2025,ACL 2025,P,工作记忆与训练,任务内状态,任务内状态,用子目标组织当前任务的工作记忆，压缩已完成阶段。,正式论文机制章节,https://aclanthology.org/2025.acl-long.1575/,2026-09-24
15,rmm,Reflective Memory Management,In Prospect and Retrospect: Reflective Memory Management for Long-term Personalized Dialogue Agents,2025,ACL 2025,P,个性化与检索,事实与证据,事实与证据 / 管理策略学习,前瞻反思构建多粒度记忆，回溯反思利用引用证据调整检索。,本轮重读ACL正式全文：主题记忆、原文保留、引用反馈训练重排器,https://aclanthology.org/2025.acl-long.413/,2026-09-24
16,consolidation,Contextual Experience Replay,Contextual Experience Replay for Self-Improvement of Language Agents,2025,ACL 2025,P,经验与技能,经验反思与策略,经验反思与策略,动态经验缓冲区积累环境规律与决策模式，支持无权重训练的适应。,正式全文重点章节、消融与表格,https://aclanthology.org/2025.acl-long.694/,2026-09-24
17,reasoningbank,ReasoningBank,ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory,2025,ICLR 2026,P,经验与技能,经验反思与策略,经验反思与策略,从成功与失败提炼推理策略，结合 MaTTS 形成在线经验学习闭环。,全文重点章节与表格,https://arxiv.org/abs/2509.25140,2026-09-24
18,ace,ACE,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,2025,ICLR 2026,P,经验与技能,经验反思与策略,经验反思与策略,用生成、反思、整理角色增量维护 playbook，避免反复摘要丢失细节。,全文重点章节,https://arxiv.org/abs/2510.04618,2026-09-24
19,wikiskill,WikiSkill,WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution,2026,arXiv 2026-08-27,R,经验与技能,工作流与程序,工作流与程序 / 经验反思与策略,分离不可变经历、持久 wiki 与可回滚技能，保留失败提案知识。,全文重点章节与表格,https://arxiv.org/html/2608.27454v1,2026-09-24
20,mem2evolve,Mem²Evolve,Mem²Evolve: Towards Self-Evolving Agents via Co-Evolutionary Capability Expansion and Experience Distillation,2026,ACL 2026 长文,P,经验与技能,工作流与程序,工作流与程序 / 经验反思与策略,Experience Memory 与 Asset Memory 协同演化，连接经验蒸馏与能力扩展。,正式页面与论文全文,https://aclanthology.org/2026.acl-long.952/,2026-09-24
21,memskill,MemSkill,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,2026,arXiv 2026-02,R,工作记忆与训练,管理策略学习,管理策略学习,controller、executor、designer 协同学习并演化记忆操作技能。,全文重点章节,https://arxiv.org/abs/2602.02474,2026-09-24
22,memevolve,MemEvolve,MemEvolve: Meta-Evolution of Agent Memory Systems,2025,arXiv 2025-12,R,工作记忆与训练,管理策略学习,管理策略学习,演化的不仅是经验，还包括 encode/store/retrieve/manage 记忆架构。,全文重点章节,https://arxiv.org/abs/2512.18746,2026-09-24
23,memento,Memento,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs,2025,arXiv 2025-08,R,经验与技能,管理策略学习,管理策略学习 / 经验反思与策略,在冻结底层 LLM 的前提下，以案例记忆和在线学习适应任务。,全文机制章节,https://arxiv.org/abs/2508.16153,2026-09-24
24,memento-skills,Memento-Skills,Memento-Skills: Let Agents Design Agents,2026,技术报告 2026-03,R,经验与技能,工作流与程序,工作流与程序,面向通用自演化 agent 的技能学习与持续改进。,全文重点章节、算法与评测设置,https://arxiv.org/abs/2603.18743,2026-09-24
25,evoskill,EvoSkill,EvoSkill: Automated Skill Discovery for Multi-Agent Systems,2026,arXiv 2026-03,R,经验与技能,工作流与程序,工作流与程序,通过失败分析生成技能，以验证分数维护固定容量的 top-k 候选程序。,全文重点章节与表格,https://arxiv.org/abs/2603.02766,2026-09-24
26,trace2skill,Trace2Skill,Trace2Skill: Distill Trajectory-Local Lessons into Transferable Agent Skills,2026,arXiv 2026-03；v5 2026-06,R,经验与技能,工作流与程序,工作流与程序,将局部轨迹教训归纳为可迁移的技能目录与操作规程。,全文重点章节、消融与附录,https://arxiv.org/abs/2603.25158,2026-09-24
27,skillopt,SkillOpt,SkillOpt: Executive Strategy for Self-Evolving Agent Skills,2026,arXiv 2026-05,R,经验与技能,工作流与程序,工作流与程序,以执行策略、拒绝编辑反馈与跨轮指导优化技能。,全文重点章节、消融与附录,https://arxiv.org/abs/2605.23904,2026-09-24
28,mem1,MEM1,MEM1: Learning to Synergize Memory and Reasoning for Efficient Long-Horizon Agents,2025,arXiv 2025-06,R,工作记忆与训练,任务内状态,任务内状态,通过强化学习联合优化推理和紧凑的工作状态更新。,全文重点章节,https://arxiv.org/abs/2506.15841,2026-09-24
29,memagent,MemAgent,MemAgent: Reshaping Long-Context LLM with Multi-Conv RL-based Memory Agent,2025,ICLR 2026 Oral,P,工作记忆与训练,任务内状态,任务内状态,分段阅读、覆盖式记忆更新和强化学习，针对超长文本问答。,全文机制章节,https://arxiv.org/abs/2507.02259,2026-09-24
30,titans,Titans,Titans: Learning to Memorize at Test Time,2024,arXiv；编号 2501.00663,R,基础与表示,模型内部表示,模型内部表示,测试时更新神经记忆模块；属于模型内部记忆路线。,全文机制章节,https://arxiv.org/abs/2501.00663,2026-09-24
31,memos,MemOS,MemOS: An Operating System for Memory-Augmented Generation (MAG) in Large Language Models,2025,arXiv 2025-05,R,基础与表示,事实与证据,事实与证据 / 任务内状态 / 模型内部表示,以 MemCube 抽象统一参数、激活与文本记忆的生命周期。,摘要,https://arxiv.org/abs/2505.22101,2026-09-24
32,mem0,Mem0,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,2025,工业预印本 2025-04,R,生产与工程,事实与证据,事实与证据,提取、合并与检索对话记忆，并提供图增强变体。,全文重点章节与表格,https://arxiv.org/html/2504.19413,2026-09-24
33,zep,Zep / Graphiti,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,2025,工业预印本 2025-01,R,生产与工程,事实与证据,事实与证据,时序知识图谱整合对话和业务数据，显式处理事实变化。,全文重点章节,https://arxiv.org/html/2501.13956,2026-09-24
34,locomo,LoCoMo,Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,ACL 2024,P,评测,跨流派资料,,长期多会话对话数据，适合测事实、时间关系和跨会话问答。,ACL正式论文方法、结果表与数据统计核验,https://arxiv.org/abs/2402.17753,2026-09-24
35,longmemeval,LongMemEval,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,2024,ICLR 2025,P,评测,跨流派资料,,500 个问题，覆盖提取、多会话推理、时间推理、更新与拒答。,全文重点章节,https://arxiv.org/abs/2410.10813,2026-09-24
36,memoryagentbench,MemoryAgentBench,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,2025,arXiv v4 2026-06；曾见 ICML 2025 Workshop 引用,R,评测,跨流派资料,,增量交互评估准确检索、测试时学习、长程理解和选择性遗忘。,全文任务协议、预算/成本与更新策略附录（v4）,https://arxiv.org/abs/2507.05257,2026-09-24
37,memoryarena,MemoryArena,MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks,2026,ICML 2026,P,评测,跨流派资料,,跨会话子任务相互依赖，将记忆写入与后续行动放在同一环境。,全文重点章节,https://arxiv.org/abs/2602.16313,2026-09-24
38,tau2,τ²-bench,τ²-Bench: Evaluating Conversational Agents in a Dual-Control Environment,2025,arXiv v1，2025-06-09,R,评测,跨流派资料,,双控制环境评估推理、沟通与协作；不是独立的长期记忆基准。,全文重点章节与 §4.3,https://arxiv.org/html/2506.07982v1#S4.SS3,2026-09-24
39,dolphinbench,DolphinBench,DolphinBench: Mapping the Pareto Frontier of Agent Memory,2026,arXiv v2 2026-09-22,R,前沿观察,跨流派资料,,以需要历史的实际任务评估记忆，并联合报告质量、成本与延迟。,全文方法、结果表与限制（v2）；未独立复现,https://arxiv.org/abs/2609.24971,2026-09-24
40,vibemembench,VibeMemBench,VibeMemBench: Evaluating Memory Systems for Coding Agents on Real Repository Coding Tasks,2026,arXiv 2026-09-20,R,前沿观察,跨流派资料,,以真实仓库可执行测试衡量历史经验对代码任务的效用。,全文方法、主结果与诊断附录审计（v1）；未独立复现,https://arxiv.org/abs/2609.23570,2026-09-24
41,memcalib,MemCalib,MemCalib: Benchmarking and Optimizing Memory Use in LLM Agents,2026,arXiv v2 2026-09-22,R,前沿观察,跨流派资料,,将记忆过度使用和使用不足作为独立能力进行评测与优化。,全文方法、结果表、judge审计与外部迁移附录（v2）；未独立复现,https://arxiv.org/abs/2609.24259,2026-09-24
42,provenance,Execution Provenance,When Does Execution Provenance Help Agent Memory Retrieval?,2026,arXiv 2026-09-22,R,前沿观察,跨流派资料,,在 token 预算下评估证据完整性，分离候选构造与图传播贡献。,全文方法、候选/图消融、下游QA与限制审计（v1）；未独立复现,https://arxiv.org/abs/2609.25913,2026-09-24
43,agentpoison,AgentPoison,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,2024,NeurIPS 2024,P,安全与治理,跨流派资料,,研究污染长期记忆或知识库如何引导后续 Agent 行为。,全文威胁模型、机制、指标与防御章节,https://arxiv.org/abs/2407.12784,2026-09-24
44,survey-tois,Memory Mechanism Survey,A Survey on the Memory Mechanism of Large Language Model based Agents,2024,"ACM TOIS 43(6), 2025",P,综述,跨流派资料,,系统整理早期 LLM Agent 记忆机制，用于追溯分类与基础文献。,摘要与正式引用元数据,https://arxiv.org/abs/2404.13501,2026-09-24
45,survey-age,Memory in the Age of AI Agents,Memory in the Age of AI Agents,2025,arXiv 2025-12,R,综述,跨流派资料,,以形式、功能、动态过程三个视角统合 agent memory。,全文分类、层次/隐记忆及多Agent/多模态前沿章节,https://arxiv.org/abs/2512.13564,2026-09-24
46,survey-second,Memory in the Second Half,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents,2026,TMLR；Survey Certification,P,综述,跨流派资料,,从载体、认知机制与记忆主体讨论真实任务效用。,全文载体取舍、多Agent操作、跨环境演化与具身前沿章节,https://arxiv.org/abs/2602.06052,2026-09-24
47,langgraph-memory,LangGraph / LangChain,Memory overview - Docs by LangChain,2026,官方文档，检索日版本,D,生产与工程,任务内状态,任务内状态 / 事实与证据,区分 thread-scoped checkpoint 与跨会话 store，以及热路径和后台更新。,官方正文,https://docs.langchain.com/oss/python/concepts/memory,2026-09-24
48,letta-current,Letta Memory / MemFS,Memory | Letta Docs,2026,官方文档，检索日版本,D,生产与工程,任务内状态,任务内状态 / 事实与证据,以版本化记忆仓库、上下文文件和后台 dreaming 支持有状态 Agent。,官方正文,https://docs.letta.com/agent-sdk/memory,2026-09-24
49,google-memory-current,Google Agent Platform Memory Bank,Agent Platform Memory Bank  |  Gemini Enterprise Agent Platform  |  Google Cloud Documentation,2026,官方文档，2026-09-22 更新,D,生产与工程,事实与证据,事实与证据,提供范围隔离、抽取合并、异步生成、TTL 和记忆修订。,官方正文,https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale/memory-bank,2026-09-24
50,aws-memory,Amazon Bedrock AgentCore Memory,Add memory to your Amazon Bedrock AgentCore agent - Amazon Bedrock AgentCore,2026,官方文档，检索日版本,D,生产与工程,事实与证据,事实与证据 / 任务内状态,提供短期事件与长期知识记忆的托管基础设施。,官方正文,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory.html,2026-09-24
51,anthropic-context,Anthropic Context Engineering,Effective context engineering for AI agents \ Anthropic,2025,官方工程文章，2025-09-29,D,生产与工程,任务内状态,任务内状态,讨论压缩、结构化笔记和多 agent 的上下文管理边界。,官方正文,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,2026-09-24
52,openai-state,OpenAI Conversation State,Conversation state | OpenAI API,2026,官方文档，检索日版本,D,生产与工程,任务内状态,任务内状态,Responses 与 Conversations 管理对话状态，须与语义记忆蒸馏区分。,官方正文,https://developers.openai.com/api/docs/guides/conversation-state,2026-09-24
53,coala,CoALA,Cognitive Architectures for Language Agents,2023,TMLR 2024,P,综述,跨流派资料,,以模块化记忆、内外部行动空间和决策循环组织语言 Agent 的认知架构。,本轮重读原始全文：记忆模块、检索/推理/学习动作与决策循环,https://arxiv.org/abs/2309.02427,2026-09-24
54,readagent,ReadAgent,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,2024,ICML 2024,P,工作记忆与训练,任务内状态,任务内状态,将原文压缩为 gist memories，并在必要时回读原文细节。,全文机制章节,https://arxiv.org/abs/2402.09727,2026-09-24
55,minja,MINJA,Memory Injection Attacks on LLM Agents via Query-Only Interaction,2025,arXiv v5 2026-02,R,安全与治理,跨流派资料,,研究通过查询交互而非直接修改记忆库注入恶意记录的风险。,全文威胁模型、机制、指标与防御章节,https://arxiv.org/abs/2503.03704,2026-09-24
56,hindsight,Hindsight,"Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects",2025,arXiv 2025-12,R,个性化与检索,事实与证据,事实与证据,区分事实、经历、实体摘要与信念，以 retain/recall/reflect 组织长期记忆。,全文机制章节,https://arxiv.org/abs/2512.12818,2026-09-24
57,simplemem,SimpleMem,SimpleMem: Efficient Lifelong Memory for LLM Agents,2026,arXiv v3 2026-01,R,个性化与检索,事实与证据,事实与证据,结合结构化压缩、在线语义综合和意图感知检索规划。,全文机制章节,https://arxiv.org/abs/2601.02553,2026-09-24
58,memory-r1,Memory-R1,Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning,2025,arXiv v5 2026-01,R,工作记忆与训练,管理策略学习,管理策略学习,分别训练记忆管理和回答 Agent，以任务结果优化记忆操作与使用。,全文机制章节,https://arxiv.org/abs/2508.19828,2026-09-24
59,memtree,MemTree,From Isolated Conversations to Hierarchical Schemas: Dynamic Tree Memory Representation for LLMs,2024,ICLR 2025 Poster,P,结构与层次,事实与证据,事实与证据,通过深度自适应阈值在线插入并聚合祖先节点，形成多粒度表示；读取采用折叠后全节点检索。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2410.14052,2026-09-24
60,arigraph,AriGraph,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,2024,IJCAI 2025 主会,P,环境与具身记忆,事实与证据,事实与证据 / 任务内状态,把当前环境的语义三元组与过去完整观察关联，更新失效关系并为规划、导航提供工作状态。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2407.04363,2026-09-24
61,gmemory,G-Memory,G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems,2025,NeurIPS 2025 Spotlight,P,多 Agent 记忆,经验反思与策略,经验反思与策略 / 事实与证据,共享记忆分为insight/query/interaction三层图；按任务和角色把群体经历路由为各Agent的记忆视图。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2506.07398,2026-09-24
62,lightmem,LightMem,LightMem: Lightweight and Efficient Memory-Augmented Generation,2025,ICLR 2026 Poster,P,高效构建与检索,事实与证据,事实与证据 / 任务内状态,预压缩、主题分段、短期缓冲批量摘要和sleep-time离线更新，降低逐轮抽取与整理成本。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2510.18866,2026-09-24
63,mirix,MIRIX,MIRIX: Multi-Agent Memory System for LLM-Based Agents,2025,arXiv 2025；未核验主会接受,R,多 Agent 与多模态,事实与证据,事实与证据 / 任务内状态,六类记忆由专门管理Agent维护，Meta Manager负责路由；主要探索多模态个人记忆的组织。,arXiv全文方法、实验与消融重点章节；预印本证据,https://arxiv.org/abs/2507.07957,2026-09-24
64,m3agent,M3-Agent,"Seeing, Listening, Remembering, and Reasoning: A Multimodal Agent with Long-Term Memory",2025,ICLR 2026 Poster,P,多模态与环境记忆,事实与证据,事实与证据 / 管理策略学习,面向长视频流，保留图像/音频身份锚点与文字事件，用实体图和训练后的多轮检索策略保持身份与跨片段一致性。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2508.09736,2026-09-24
65,memoryllm,MemoryLLM,MEMORYLLM: Towards Self-Updatable Large Language Models,2024,ICML 2024 Poster,P,参数与神经记忆,模型内部表示,模型内部表示,在Transformer各层维护固定大小隐状态记忆池，以前向self-update注入新知识；用随机替换控制容量。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2402.04624,2026-09-24
66,mplus,M+,M+: Extending MemoryLLM with Scalable Long-Term Memory,2025,ICML 2025 Poster,P,参数与神经记忆,模型内部表示,模型内部表示,把MemoryLLM被淘汰的隐状态保存到CPU长期池，联合训练retriever后按层取回相关tokens。,arXiv全文方法、实验与消融重点章节；正式会议身份已核验,https://arxiv.org/abs/2502.00592,2026-09-24
